Year;Economic Activity;Type of Fixed Assets;Purchases in Thousands SR
2009;Activities auxiliary to financial intermediation;Transportation Equipment;443.0
2009;Activities auxiliary to financial intermediation;Other Equipment;401.0
2009;Real estate activities;Transportation Equipment;20952.0
2009;Computer and related activities;Land and Buildings;37936.0
2009;Research and development;Other assets;0.0
2009;Research and development;Transportation Equipment;0.0
2009;Activities, business services;Transportation Equipment;520170.0
2009;Activities, business services;Total;1637275.0
2009;Activities, business services;Other Equipment;297731.0
2009;Health and social work;Transportation Equipment;28270.0
2009;Sewage and refuse disposal and sanitation;Other assets;3134.0
2009;Activities of membership organizations n.e.c.;Furniture;8575.0
2009;Recreational, cultural and sporting activities;Other assets;6007.0
2009;Recreational, cultural and sporting activities;Transportation Equipment;3959.0
2009;Recreational, cultural and sporting activities;Total;54023.0
2008;Forestry and logging;Other assets;0.0
2008;Forestry and logging;Land and Buildings;0.0
2008;Forestry and logging;Other Equipment;0.0
2008;Forestry and logging;Furniture;0.0
2008;Mining of metal ores;Other assets;0.0
2008;Manufacture of food prod. and beverages;Transportation Equipment;299483.0
2008;Manufacture of food prod. and beverages;Other Equipment;1131957.0
2008;Manufacture of tobacco products;Land and Buildings;0.0
2008;Manufacture of tobacco products;Transportation Equipment;0.0
2008;Manufacture of tobacco products;Other Equipment;48.0
2008;Manufacturing of apparel, preparing & tanning fur;Other assets;10339.0
2008;"Tanning and dressing of leather; manufacture of luggage and footwear";Other assets;89.0
2008;"Tanning and dressing of leather; manufacture of luggage and footwear";Total;1556.0
2008;Industry of paper and its products;Land and Buildings;129803.0
2008;Manufacture of medical, precision and optical instruments, watches and clocks;Land and Buildings;613.0
2008;Manufacture of motor vehicles, trailers and semi-trailers;Transportation Equipment;7394.0
2008;Manufacture of motor vehicles, trailers and semi-trailers;Total;24600.0
2008;Manufacture of motor vehicles, trailers and semi-trailers;Other Equipment;6519.0
2008;Manufacture of motor vehicles, trailers and semi-trailers;Furniture;3684.0
2008;Manufacture of other transport equipment;Land and Buildings;544.0
2008;Manufacture of other transport equipment;Total;4232.0
2008;Manufacture of other transport equipment;Other Equipment;2854.0
2008;"Manufacture of furniture; manufacturing";Other Equipment;32733.0
2008;"Manufacture of furniture; manufacturing";Furniture;30475.0
2008;Recycling;Other assets;0.0
2008;Recycling;Other Equipment;0.0
2008;Electricity, gas and steam;Transportation Equipment;75751.0
2008;Electricity, gas and steam;Furniture;10201.0
2008;Collection, purification and distribution of water;Land and Buildings;42472.0
2008;Construction;Other Equipment;2324558.0
2008;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Transportation Equipment;258698.0
2008;Manufacture of other transport equipment;Transportation Equipment;337.0
2008;Insurance and pension funding, except compulsory social security;Land and Buildings;188963.0
2008;Insurance and pension funding, except compulsory social security;Transportation Equipment;38181.0
2008;Real estate activities;Other Equipment;49214.0
2008;Renting of machinery and equipment without operator and of personal and household goods;Land and Buildings;1222.0
2008;Computer and related activities;Other Equipment;10713.0
2008;Research and development;Other assets;0.0
