Year;Economic Activity;Type of Fixed Assets;Purchases in Thousands SR
2006;"Land transport; transport via pipelines";Furniture;5470.0
2006;Air transport;Other assets;635410.0
2006;Air transport;Other Equipment;122058.0
2006;"Supporting and auxiliary transport activities; activities of travel agencies";Other assets;120884.0
2006;Post and telecommunications;Land and Buildings;133537.0
2006;Post and telecommunications;Total;4643865.0
2006;Post and telecommunications;Furniture;167629.0
2006;Insurance and pension funding, except compulsory social security;Land and Buildings;181469.0
2006;Real estate activities;Total;799386.0
2006;Renting of machinery and equipment without operator and of personal and household goods;Other assets;0.0
2006;Computer and related activities;Land and Buildings;70901.0
2006;Computer and related activities;Transportation Equipment;4788.0
2006;Research and development;Land and Buildings;0.0
2006;Research and development;Transportation Equipment;0.0
2006;Activities, business services;Other assets;246114.0
2006;Activities, business services;Other Equipment;237916.0
2006;Education;Transportation Equipment;9731.0
2006;Education;Total;106913.0
2006;Education;Furniture;16316.0
2006;Health and social work;Transportation Equipment;216253.0
2006;Activities of membership organizations n.e.c.;Furniture;7232.0
2006;Recreational, cultural and sporting activities;Land and Buildings;9939.0
2006;Total;Other assets;10839617.0
2006;Total;Land and Buildings;13422990.0
2006;Total;Transportation Equipment;13828505.0
2006;Total;Furniture;4692446.0
2005;Agriculture and hunting and related service activities;Land and Buildings;213729.0
2005;Agriculture and hunting and related service activities;Total;406123.0
2005;Forestry and logging;Other assets;0.0
2005;Forestry and logging;Total;0.0
2005;Forestry and logging;Other Equipment;0.0
2005;Fishing;Other assets;0.0
2005;Exploration of oil and natural gas;Other assets;21577.0
2005;Exploration of oil and natural gas;Other Equipment;21585474.0
2005;Mining of metal ores;Transportation Equipment;0.0
2005;Mining of metal ores;Total;3018.0
2005;Mining of metal ores;Other Equipment;716.0
2005;Activities for mining and quarrying;Other assets;10113.0
2005;Activities for mining and quarrying;Furniture;6489.0
2005;Manufacture of food prod. and beverages;Total;5379507.0
2005;Manufacture of food prod. and beverages;Other Equipment;1780164.0
2005;Manufacture of textiles;Land and Buildings;40886.0
2005;Manufacture of textiles;Total;88089.0
2005;Manufacture of textiles;Other Equipment;44652.0
2005;Manufacturing of apparel, preparing & tanning fur;Other assets;25026.0
2005;Manufacturing of apparel, preparing & tanning fur;Total;71229.0
2005;Manufacturing of apparel, preparing & tanning fur;Furniture;17277.0
2005;"Tanning and dressing of leather; manufacture of luggage and footwear";Total;612.0
2005;Manufacture of wood and of products of wood and cork;Transportation Equipment;7832.0
2005;Printing & Publishing;Furniture;6792.0
2005;Products of refined petroleum;Other Equipment;26249.0
2005;Manufacture of chemicals , Articles and  products;Transportation Equipment;115346.0
2005;Manufacture of rubber and plastics products;Other assets;95517.0
2005;Manufacture of fabricated metal products;Other Equipment;304996.0
2005;Manufacture of office, accounting and computing machinery;Transportation Equipment;271.0
2005;Manufacture of office, accounting and computing machinery;Furniture;531.0
2005;Manufacture of electrical machinery and apparatus;Other Equipment;175592.0
2005;Manufacture of medical, precision and optical instruments, watches and clocks;Other assets;2670.0
2005;Manufacture of motor vehicles, trailers and semi-trailers;Total;62368.0
2009;"Tanning and dressing of leather; manufacture of luggage and footwear";Transportation Equipment;404.0
2009;"Tanning and dressing of leather; manufacture of luggage and footwear";Other Equipment;822.0
2009;"Tanning and dressing of leather; manufacture of luggage and footwear";Furniture;32.0
2009;Manufacture of wood and of products of wood and cork;Other assets;9221.0
2009;Industry of paper and its products;Land and Buildings;223323.0
2009;Products of refined petroleum;Other Equipment;66224.0
2009;Manufacture of  non-metallic mineral products;Furniture;41431.0
2009;Manufacture of basic metals;Land and Buildings;24582.0
2009;Manufacture of fabricated metal products;Furniture;16572.0
2009;Manufacture of office, accounting and computing machinery;Other assets;0.0
2009;Manufacture of office, accounting and computing machinery;Other Equipment;0.0
2009;Manufacture of electrical machinery and apparatus;Other assets;189940.0
2009;Manufacture of radio, television and communication equipment and apparatus;Total;13519.0
2009;Manufacture of motor vehicles, trailers and semi-trailers;Total;19867.0
2009;Manufacture of other transport equipment;Other assets;67.0
2009;"Manufacture of furniture; manufacturing";Other Equipment;34557.0
2009;Recycling;Total;0.0
2009;Recycling;Other Equipment;0.0
2009;Electricity, gas and steam;Furniture;9542.0
2009;Collection, purification and distribution of water;Transportation Equipment;27286.0
2008;Manufacture of electrical machinery and apparatus;Total;623726.0
2008;Manufacture of electrical machinery and apparatus;Furniture;116332.0
2008;Manufacture of radio, television and communication equipment and apparatus;Total;13135.0
2008;Manufacture of radio, television and communication equipment and apparatus;Furniture;399.0
2008;Manufacture of medical, precision and optical instruments, watches and clocks;Total;14252.0
2008;Manufacture of other transport equipment;Other assets;67.0
2008;Retail trade and repair of personal and household goods;Land and Buildings;282841.0
2008;Retail trade and repair of personal and household goods;Other Equipment;310493.0
2008;Retail trade and repair of personal and household goods;Furniture;318525.0
2008;"Land transport; transport via pipelines";Other assets;260476.0
2008;Water transport;Other assets;0.0
2008;Computer and related activities;Transportation Equipment;5601.0
2006;Manufacture of office, accounting and computing machinery;Land and Buildings;0.0
2006;Manufacture of office, accounting and computing machinery;Transportation Equipment;0.0
2006;Manufacture of office, accounting and computing machinery;Total;0.0
2006;Manufacture of electrical machinery and apparatus;Other assets;162370.0
2006;Manufacture of electrical machinery and apparatus;Land and Buildings;156058.0
2006;Manufacture of electrical machinery and apparatus;Furniture;114701.0
2006;Manufacture of radio, television and communication equipment and apparatus;Other assets;7256.0
2006;Manufacture of radio, television and communication equipment and apparatus;Furniture;384.0
2006;Manufacture of medical, precision and optical instruments, watches and clocks;Furniture;480.0
2006;Manufacture of motor vehicles, trailers and semi-trailers;Other assets;17270.0
2006;Manufacture of other transport equipment;Transportation Equipment;141.0
2006;"Manufacture of furniture; manufacturing";Land and Buildings;12522.0
2006;"Manufacture of furniture; manufacturing";Furniture;29913.0
2006;Recycling;Land and Buildings;0.0
2006;Recycling;Furniture;0.0
2006;Electricity, gas and steam;Land and Buildings;178986.0
2006;Electricity, gas and steam;Other Equipment;7678016.0
2006;Collection, purification and distribution of water;Other assets;4943.0
2006;Collection, purification and distribution of water;Total;75569.0
2006;Collection, purification and distribution of water;Furniture;4309.0
2006;Construction;Other assets;276826.0
2006;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Other assets;96568.0
2006;Wholesale trade and commission trade;Transportation Equipment;3025326.0
2006;Wholesale trade and commission trade;Total;5997028.0
2006;Wholesale trade and commission trade;Other Equipment;490636.0
2006;Retail trade and repair of personal and household goods;Other assets;146940.0
2006;Retail trade and repair of personal and household goods;Other Equipment;285197.0
2006;Water transport;Other assets;0.0
2006;Water transport;Transportation Equipment;1073.0
2006;Water transport;Furniture;0.0
2006;Air transport;Land and Buildings;0.0
2006;Activities auxiliary to financial intermediation;Transportation Equipment;413.0
2006;Real estate activities;Land and Buildings;713661.0
2006;Computer and related activities;Other assets;7211.0
2006;Computer and related activities;Furniture;8476.0
2006;Research and development;Total;0.0
2006;Activities, business services;Land and Buildings;54037.0
2006;Activities, business services;Transportation Equipment;462048.0
2006;Activities, business services;Total;1465591.0
2006;Activities, business services;Furniture;465476.0
2006;Education;Land and Buildings;58536.0
2006;Health and social work;Total;3568472.0
2006;Sewage and refuse disposal and sanitation;Other assets;5197.0
2006;Sewage and refuse disposal and sanitation;Land and Buildings;22810.0
2006;Sewage and refuse disposal and sanitation;Transportation Equipment;51990.0
2006;Sewage and refuse disposal and sanitation;Furniture;2334.0
2006;Activities of membership organizations n.e.c.;Other assets;10999.0
2006;Recreational, cultural and sporting activities;Total;28150.0
2006;service activities;Transportation Equipment;11304.0
2006;service activities;Total;13819.0
2006;service activities;Furniture;805.0
2005;Forestry and logging;Land and Buildings;0.0
2005;Fishing;Transportation Equipment;4894.0
2005;Fishing;Total;8357.0
2005;Fishing;Furniture;0.0
2005;Exploration of oil and natural gas;Total;22788916.0
2005;Manufacture of food prod. and beverages;Other assets;1827857.0
2005;Manufacture of food prod. and beverages;Transportation Equipment;319267.0
2005;Manufacture of tobacco products;Other assets;0.0
2005;Manufacture of tobacco products;Land and Buildings;0.0
2005;Manufacture of tobacco products;Transportation Equipment;0.0
2005;Manufacture of textiles;Furniture;1333.0
2005;Manufacture of wood and of products of wood and cork;Other assets;887.0
2005;Manufacture of wood and of products of wood and cork;Land and Buildings;26249.0
2005;Industry of paper and its products;Other assets;237364.0
2005;Industry of paper and its products;Furniture;12604.0
2005;Printing & Publishing;Land and Buildings;21780.0
2005;Products of refined petroleum;Land and Buildings;3085.0
2005;Manufacture of chemicals , Articles and  products;Other assets;462583.0
2005;Manufacture of chemicals , Articles and  products;Furniture;39496.0
2005;Manufacture of rubber and plastics products;Furniture;63269.0
2005;Manufacture of  non-metallic mineral products;Other assets;329368.0
2005;Manufacture of  non-metallic mineral products;Land and Buildings;1688324.0
2005;Manufacture of basic metals;Other assets;1862537.0
2005;Manufacture of basic metals;Other Equipment;176157.0
2005;Manufacture of fabricated metal products;Transportation Equipment;16733.0
2005;Manufacture of fabricated metal products;Furniture;30898.0
2005;Manufacture of machinery and equipment;Land and Buildings;69931.0
2005;Manufacture of machinery and equipment;Total;199544.0
2005;Manufacture of machinery and equipment;Furniture;7853.0
2005;Manufacture of office, accounting and computing machinery;Land and Buildings;0.0
2005;Manufacture of electrical machinery and apparatus;Transportation Equipment;50602.0
2005;Manufacture of radio, television and communication equipment and apparatus;Land and Buildings;588.0
2005;Manufacture of medical, precision and optical instruments, watches and clocks;Land and Buildings;1102.0
2005;Manufacture of medical, precision and optical instruments, watches and clocks;Total;15516.0
2005;Manufacture of motor vehicles, trailers and semi-trailers;Other assets;38100.0
2005;Manufacture of motor vehicles, trailers and semi-trailers;Land and Buildings;4753.0
2005;"Manufacture of furniture; manufacturing";Other assets;45460.0
2005;Recycling;Furniture;365.0
2005;Electricity, gas and steam;Total;9500953.0
2005;Collection, purification and distribution of water;Land and Buildings;35775.0
2005;Construction;Land and Buildings;3425770.0
2005;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Other assets;316881.0
2005;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Land and Buildings;283817.0
2005;Wholesale trade and commission trade;Other assets;156545.0
2005;Retail trade and repair of personal and household goods;Other assets;112565.0
2005;Retail trade and repair of personal and household goods;Transportation Equipment;139662.0
2005;Retail trade and repair of personal and household goods;Furniture;137844.0
2005;Water transport;Land and Buildings;0.0
2005;Water transport;Total;1076673.0
2008;Industry of paper and its products;Total;2227882.0
2008;Industry of paper and its products;Furniture;18087.0
2008;Printing & Publishing;Other Equipment;124906.0
2008;Manufacture of chemicals , Articles and  products;Land and Buildings;364399.0
2008;Manufacture of chemicals , Articles and  products;Furniture;36111.0
2008;Manufacture of electrical machinery and apparatus;Other Equipment;159134.0
2008;Manufacture of radio, television and communication equipment and apparatus;Other assets;7657.0
2008;Manufacture of medical, precision and optical instruments, watches and clocks;Transportation Equipment;1299.0
2008;Manufacture of medical, precision and optical instruments, watches and clocks;Other Equipment;10574.0
2008;Manufacture of medical, precision and optical instruments, watches and clocks;Furniture;304.0
2008;Manufacture of motor vehicles, trailers and semi-trailers;Other assets;4670.0
2008;Recycling;Land and Buildings;0.0
2008;Recycling;Transportation Equipment;0.0
2008;Recycling;Total;0.0
2008;Recycling;Furniture;0.0
2008;Electricity, gas and steam;Other assets;201932.0
2008;Electricity, gas and steam;Land and Buildings;149357.0
2008;Collection, purification and distribution of water;Total;80612.0
2008;Construction;Total;7719225.0
2008;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Other assets;81191.0
2008;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Other Equipment;61869.0
2008;Wholesale trade and commission trade;Other assets;245775.0
2008;Hotels and restaurants;Total;430488.0
2008;"Land transport; transport via pipelines";Land and Buildings;132493.0
2008;Air transport;Land and Buildings;7.0
2008;"Supporting and auxiliary transport activities; activities of travel agencies";Total;269103.0
2008;Post and telecommunications;Furniture;122630.0
2008;Activities of membership organizations n.e.c.;Transportation Equipment;3860.0
2008;Activities of membership organizations n.e.c.;Other Equipment;1844.0
2008;service activities;Total;14618.0
2008;Total;Other assets;7696980.0
2007;Agriculture and hunting and related service activities;Land and Buildings;79406.0
2007;Agriculture and hunting and related service activities;Transportation Equipment;16402.0
2007;Fishing;Other assets;29650.0
2007;Fishing;Land and Buildings;93.0
2007;Exploration of oil and natural gas;Other assets;3375415.0
2007;Exploration of oil and natural gas;Land and Buildings;408863.0
2007;Exploration of oil and natural gas;Total;69420308.0
2007;Manufacture of tobacco products;Land and Buildings;0.0
2007;Manufacture of textiles;Total;187652.0
2007;Manufacture of textiles;Other Equipment;149863.0
2007;"Tanning and dressing of leather; manufacture of luggage and footwear";Land and Buildings;180.0
2007;"Tanning and dressing of leather; manufacture of luggage and footwear";Other Equipment;503.0
2007;Manufacture of wood and of products of wood and cork;Transportation Equipment;4670.0
2007;Recycling;Other assets;0.0
2007;Recycling;Total;0.0
2007;Electricity, gas and steam;Furniture;9915.0
2007;Collection, purification and distribution of water;Land and Buildings;41381.0
2007;Wholesale trade and commission trade;Other Equipment;372272.0
2007;Retail trade and repair of personal and household goods;Other assets;163652.0
2007;Hotels and restaurants;Land and Buildings;178819.0
2007;"Land transport; transport via pipelines";Other Equipment;66418.0
2007;"Land transport; transport via pipelines";Furniture;7281.0
2007;Water transport;Other Equipment;0.0
2007;Air transport;Land and Buildings;0.0
2007;Post and telecommunications;Other assets;3495584.0
2007;Insurance and pension funding, except compulsory social security;Other assets;20.0
2007;Insurance and pension funding, except compulsory social security;Furniture;24465.0
2007;Activities auxiliary to financial intermediation;Other assets;156.0
2007;Activities auxiliary to financial intermediation;Total;1619.0
2007;Real estate activities;Land and Buildings;653430.0
2007;Computer and related activities;Land and Buildings;66619.0
2007;Research and development;Other Equipment;0.0
2007;Activities, business services;Land and Buildings;53175.0
2007;Activities, business services;Total;1463080.0
2007;Education;Total;124209.0
2007;Education;Other Equipment;11174.0
2007;Health and social work;Other Equipment;2358093.0
2007;Sewage and refuse disposal and sanitation;Other assets;6941.0
2007;Sewage and refuse disposal and sanitation;Transportation Equipment;65527.0
2007;Activities of membership organizations n.e.c.;Other assets;13391.0
2007;Recreational, cultural and sporting activities;Land and Buildings;10056.0
2007;Recreational, cultural and sporting activities;Transportation Equipment;2974.0
2006;Manufacture of office, accounting and computing machinery;Furniture;0.0
2006;Manufacture of radio, television and communication equipment and apparatus;Other Equipment;1834.0
2006;Manufacture of motor vehicles, trailers and semi-trailers;Land and Buildings;2040.0
2006;Manufacture of motor vehicles, trailers and semi-trailers;Transportation Equipment;5510.0
2006;Manufacture of other transport equipment;Other Equipment;2723.0
2006;Recycling;Total;0.0
2006;Electricity, gas and steam;Furniture;10788.0
2006;Construction;Other Equipment;2213897.0
2006;Construction;Furniture;697331.0
2006;Wholesale trade and commission trade;Furniture;698215.0
2006;Retail trade and repair of personal and household goods;Land and Buildings;232876.0
2006;Hotels and restaurants;Furniture;85363.0
2006;"Land transport; transport via pipelines";Land and Buildings;129308.0
2005;Manufacture of  non-metallic mineral products;Transportation Equipment;196619.0
2005;Manufacture of basic metals;Furniture;6073.0
2005;Manufacture of fabricated metal products;Other assets;388965.0
2005;Manufacture of fabricated metal products;Land and Buildings;71146.0
2005;Manufacture of machinery and equipment;Other assets;27280.0
2005;Manufacture of machinery and equipment;Transportation Equipment;21945.0
2005;Manufacture of machinery and equipment;Other Equipment;72535.0
2005;Manufacture of electrical machinery and apparatus;Total;841778.0
2005;Manufacture of motor vehicles, trailers and semi-trailers;Other Equipment;9925.0
2005;Manufacture of motor vehicles, trailers and semi-trailers;Furniture;7321.0
2005;Water transport;Furniture;0.0
2005;Air transport;Land and Buildings;0.0
2005;"Supporting and auxiliary transport activities; activities of travel agencies";Total;134670.0
2005;"Supporting and auxiliary transport activities; activities of travel agencies";Other Equipment;74163.0
2006;Forestry and logging;Furniture;0.0
2006;Exploration of oil and natural gas;Transportation Equipment;433220.0
2006;Exploration of oil and natural gas;Furniture;101155.0
2006;Mining of metal ores;Land and Buildings;1098.0
2006;Activities for mining and quarrying;Land and Buildings;135408.0
2006;Activities for mining and quarrying;Transportation Equipment;32419.0
2006;Manufacture of food prod. and beverages;Other assets;410863.0
2006;Manufacture of food prod. and beverages;Land and Buildings;794220.0
2006;Manufacture of textiles;Transportation Equipment;286.0
2006;Manufacturing of apparel, preparing & tanning fur;Other assets;10396.0
2006;Manufacturing of apparel, preparing & tanning fur;Transportation Equipment;4641.0
2006;Manufacturing of apparel, preparing & tanning fur;Total;36266.0
2006;"Tanning and dressing of leather; manufacture of luggage and footwear";Other Equipment;501.0
2006;"Tanning and dressing of leather; manufacture of luggage and footwear";Furniture;30.0
2006;Manufacture of wood and of products of wood and cork;Total;64843.0
2006;Manufacture of wood and of products of wood and cork;Other Equipment;19413.0
2006;Printing & Publishing;Total;361101.0
2006;Printing & Publishing;Furniture;8223.0
2006;Products of refined petroleum;Other assets;832582.0
2006;Manufacture of chemicals , Articles and  products;Other Equipment;1127594.0
2006;Manufacture of rubber and plastics products;Furniture;47993.0
2006;Manufacture of basic metals;Transportation Equipment;11127.0
2006;Manufacture of fabricated metal products;Land and Buildings;116020.0
2006;Manufacture of fabricated metal products;Furniture;15050.0
2006;Manufacture of machinery and equipment;Total;250925.0
2006;Manufacture of electrical machinery and apparatus;Transportation Equipment;42320.0
2006;Manufacture of radio, television and communication equipment and apparatus;Land and Buildings;0.0
2006;Manufacture of medical, precision and optical instruments, watches and clocks;Other assets;1111.0
2006;Manufacture of medical, precision and optical instruments, watches and clocks;Total;13274.0
2006;Manufacture of motor vehicles, trailers and semi-trailers;Other Equipment;8982.0
2006;Manufacture of other transport equipment;Other assets;65.0
2006;Manufacture of other transport equipment;Land and Buildings;527.0
2006;Manufacture of other transport equipment;Total;3703.0
2006;Recycling;Other Equipment;0.0
2006;Electricity, gas and steam;Other assets;191246.0
2006;Electricity, gas and steam;Total;8132586.0
2006;Collection, purification and distribution of water;Transportation Equipment;18914.0
2006;Collection, purification and distribution of water;Other Equipment;6937.0
2006;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Land and Buildings;185902.0
2006;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Furniture;37732.0
2006;Wholesale trade and commission trade;Other assets;189806.0
2006;Wholesale trade and commission trade;Land and Buildings;1593045.0
2006;Retail trade and repair of personal and household goods;Total;1098231.0
2006;"Land transport; transport via pipelines";Other Equipment;63013.0
2006;Water transport;Land and Buildings;0.0
2006;Air transport;Transportation Equipment;1750477.0
2006;"Supporting and auxiliary transport activities; activities of travel agencies";Land and Buildings;22688.0
2006;"Supporting and auxiliary transport activities; activities of travel agencies";Total;268685.0
2006;Financial intermediation;Land and Buildings;920716.0
2006;Financial intermediation;Transportation Equipment;24104.0
2006;Financial intermediation;Other Equipment;526632.0
2006;Financial intermediation;Furniture;398976.0
2006;Insurance and pension funding, except compulsory social security;Transportation Equipment;34852.0
2006;Insurance and pension funding, except compulsory social security;Total;269776.0
2006;Activities auxiliary to financial intermediation;Land and Buildings;0.0
2006;Activities auxiliary to financial intermediation;Other Equipment;365.0
2006;Activities auxiliary to financial intermediation;Furniture;663.0
2006;Real estate activities;Other assets;12762.0
2006;Renting of machinery and equipment without operator and of personal and household goods;Land and Buildings;1196.0
2006;Renting of machinery and equipment without operator and of personal and household goods;Furniture;548.0
2006;Research and development;Other assets;0.0
2006;Research and development;Furniture;0.0
2006;Health and social work;Other assets;379771.0
2006;Sewage and refuse disposal and sanitation;Other Equipment;14932.0
2006;Activities of membership organizations n.e.c.;Land and Buildings;835.0
2006;Recreational, cultural and sporting activities;Other assets;3337.0
2006;Recreational, cultural and sporting activities;Transportation Equipment;2329.0
2006;service activities;Other assets;112.0
2006;service activities;Other Equipment;1237.0
2005;Agriculture and hunting and related service activities;Transportation Equipment;25921.0
2005;Agriculture and hunting and related service activities;Other Equipment;135081.0
2005;Agriculture and hunting and related service activities;Furniture;8188.0
2005;Exploration of oil and natural gas;Land and Buildings;571842.0
2005;Exploration of oil and natural gas;Furniture;219361.0
2005;Mining of metal ores;Land and Buildings;2302.0
2005;Activities for mining and quarrying;Land and Buildings;175300.0
2005;Activities for mining and quarrying;Total;1119393.0
2005;Manufacture of textiles;Transportation Equipment;594.0
2005;Manufacturing of apparel, preparing & tanning fur;Transportation Equipment;7903.0
2005;Manufacturing of apparel, preparing & tanning fur;Other Equipment;15304.0
2005;"Tanning and dressing of leather; manufacture of luggage and footwear";Other Equipment;55.0
2005;Manufacture of wood and of products of wood and cork;Other Equipment;10648.0
2005;Printing & Publishing;Transportation Equipment;17610.0
2005;Printing & Publishing;Total;128216.0
2005;Products of refined petroleum;Furniture;2048.0
2005;Manufacture of chemicals , Articles and  products;Total;2105269.0
2005;Manufacture of rubber and plastics products;Total;508284.0
2005;Manufacture of  non-metallic mineral products;Other Equipment;1342242.0
2005;Manufacture of  non-metallic mineral products;Furniture;27812.0
2005;Manufacture of basic metals;Land and Buildings;38149.0
2005;Manufacture of basic metals;Total;2097404.0
2005;Manufacture of fabricated metal products;Total;812738.0
2005;Manufacture of office, accounting and computing machinery;Other assets;0.0
2005;Manufacture of office, accounting and computing machinery;Total;802.0
2005;Manufacture of office, accounting and computing machinery;Other Equipment;0.0
2005;Manufacture of electrical machinery and apparatus;Land and Buildings;209787.0
2005;Manufacture of radio, television and communication equipment and apparatus;Furniture;440.0
2005;Manufacture of motor vehicles, trailers and semi-trailers;Transportation Equipment;2269.0
2005;Manufacture of other transport equipment;Other assets;72.0
2005;Manufacture of other transport equipment;Furniture;308.0
2008;service activities;Other assets;34.0
2008;Total;Total;175417254.0
2008;Total;Other Equipment;139141346.0
2007;Agriculture and hunting and related service activities;Total;175304.0
2007;Agriculture and hunting and related service activities;Furniture;4177.0
2007;Forestry and logging;Other assets;0.0
2007;Wholesale trade and commission trade;Other assets;169714.0
2007;Wholesale trade and commission trade;Total;5808241.0
2007;Retail trade and repair of personal and household goods;Land and Buildings;246979.0
2007;Retail trade and repair of personal and household goods;Transportation Equipment;133615.0
2007;Water transport;Other assets;0.0
2007;Air transport;Transportation Equipment;1270247.0
2007;"Supporting and auxiliary transport activities; activities of travel agencies";Furniture;3701.0
2007;Post and telecommunications;Land and Buildings;163965.0
2007;Post and telecommunications;Transportation Equipment;44011.0
2007;Post and telecommunications;Total;4983204.0
2007;Post and telecommunications;Other Equipment;1124953.0
2007;Financial intermediation;Transportation Equipment;31083.0
2007;Financial intermediation;Other Equipment;573222.0
2007;Insurance and pension funding, except compulsory social security;Other Equipment;38776.0
2007;Real estate activities;Transportation Equipment;16424.0
2007;Real estate activities;Other Equipment;42081.0
2007;Total;Furniture;4298492.0
2006;Agriculture and hunting and related service activities;Transportation Equipment;17440.0
2006;Fishing;Total;34714.0
2006;Fishing;Furniture;1945.0
2006;Mining of metal ores;Other assets;0.0
2006;Mining of metal ores;Other Equipment;416.0
2006;Manufacture of food prod. and beverages;Transportation Equipment;230060.0
2006;Manufacture of tobacco products;Total;0.0
2006;Manufacture of tobacco products;Other Equipment;0.0
2006;Manufacture of tobacco products;Furniture;0.0
2006;Manufacture of textiles;Total;180710.0
2006;Manufacture of textiles;Other Equipment;144745.0
2006;Manufacturing of apparel, preparing & tanning fur;Furniture;6574.0
2006;Industry of paper and its products;Transportation Equipment;17409.0
2006;Industry of paper and its products;Total;2389154.0
2006;Products of refined petroleum;Total;869687.0
2006;Products of refined petroleum;Other Equipment;24736.0
2006;Products of refined petroleum;Furniture;861.0
2006;Manufacture of chemicals , Articles and  products;Other assets;401048.0
2006;Manufacture of chemicals , Articles and  products;Total;1939291.0
2006;Manufacture of rubber and plastics products;Land and Buildings;115311.0
2006;Manufacture of  non-metallic mineral products;Total;5926498.0
2006;Manufacture of  non-metallic mineral products;Other Equipment;2526418.0
2006;Manufacture of radio, television and communication equipment and apparatus;Total;12611.0
2006;Manufacture of medical, precision and optical instruments, watches and clocks;Land and Buildings;600.0
2006;Manufacture of medical, precision and optical instruments, watches and clocks;Transportation Equipment;911.0
2006;Manufacture of medical, precision and optical instruments, watches and clocks;Other Equipment;10172.0
2006;Manufacture of motor vehicles, trailers and semi-trailers;Total;37077.0
2006;Manufacture of motor vehicles, trailers and semi-trailers;Furniture;3275.0
2006;"Manufacture of furniture; manufacturing";Other assets;22652.0
2006;"Manufacture of furniture; manufacturing";Transportation Equipment;245051.0
2006;"Manufacture of furniture; manufacturing";Total;340158.0
2006;Collection, purification and distribution of water;Land and Buildings;40466.0
2006;Construction;Land and Buildings;3674794.0
2006;Construction;Total;11394642.0
2006;Hotels and restaurants;Other assets;54984.0
2006;"Land transport; transport via pipelines";Transportation Equipment;1325689.0
2006;Air transport;Total;3243393.0
2006;Air transport;Furniture;735448.0
2006;"Supporting and auxiliary transport activities; activities of travel agencies";Transportation Equipment;23217.0
2006;"Supporting and auxiliary transport activities; activities of travel agencies";Furniture;4293.0
2006;Post and telecommunications;Other assets;3462045.0
2006;Post and telecommunications;Other Equipment;843273.0
2006;Financial intermediation;Other assets;216402.0
2006;Insurance and pension funding, except compulsory social security;Other assets;32.0
2006;Activities auxiliary to financial intermediation;Other assets;154.0
2006;Activities auxiliary to financial intermediation;Total;1595.0
2006;Real estate activities;Transportation Equipment;16959.0
2006;Real estate activities;Other Equipment;48192.0
2006;Renting of machinery and equipment without operator and of personal and household goods;Transportation Equipment;142719.0
2006;Renting of machinery and equipment without operator and of personal and household goods;Total;148604.0
2006;Renting of machinery and equipment without operator and of personal and household goods;Other Equipment;4141.0
2006;Computer and related activities;Other Equipment;10985.0
2006;Research and development;Other Equipment;0.0
2006;Education;Other assets;13809.0
2006;Health and social work;Land and Buildings;481209.0
2006;Health and social work;Other Equipment;2101621.0
2006;Sewage and refuse disposal and sanitation;Total;97263.0
2006;Activities of membership organizations n.e.c.;Transportation Equipment;2472.0
2006;Recreational, cultural and sporting activities;Furniture;6140.0
2006;service activities;Land and Buildings;361.0
2005;Agriculture and hunting and related service activities;Other assets;23204.0
2005;Forestry and logging;Transportation Equipment;0.0
2005;Forestry and logging;Furniture;0.0
2005;Fishing;Land and Buildings;0.0
2005;Mining of metal ores;Other assets;0.0
2005;Mining of metal ores;Furniture;0.0
2005;Activities for mining and quarrying;Transportation Equipment;22987.0
2005;Manufacture of food prod. and beverages;Land and Buildings;1180970.0
2005;Manufacture of tobacco products;Total;0.0
2005;Manufacture of tobacco products;Other Equipment;0.0
2005;Manufacture of tobacco products;Furniture;0.0
2005;"Tanning and dressing of leather; manufacture of luggage and footwear";Furniture;28.0
2005;Manufacture of wood and of products of wood and cork;Total;46572.0
2005;Manufacture of wood and of products of wood and cork;Furniture;956.0
2005;Industry of paper and its products;Land and Buildings;119242.0
2005;Industry of paper and its products;Total;585995.0
2005;Printing & Publishing;Other assets;8317.0
2005;Manufacture of other transport equipment;Land and Buildings;145.0
2005;"Manufacture of furniture; manufacturing";Land and Buildings;20371.0
2005;"Manufacture of furniture; manufacturing";Transportation Equipment;42962.0
2005;"Manufacture of furniture; manufacturing";Total;180115.0
2005;Recycling;Total;2824.0
2005;Electricity, gas and steam;Transportation Equipment;69707.0
2005;Collection, purification and distribution of water;Other assets;8263.0
2005;Collection, purification and distribution of water;Total;99935.0
2005;Construction;Other assets;234144.0
2005;Construction;Furniture;98527.0
2005;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Furniture;26673.0
2005;Retail trade and repair of personal and household goods;Total;738504.0
2005;Hotels and restaurants;Land and Buildings;276127.0
2005;Hotels and restaurants;Total;646612.0
2005;Hotels and restaurants;Other Equipment;132905.0
2005;"Land transport; transport via pipelines";Land and Buildings;85998.0
